廠別,父件,子件,單位,用量,父件說明,子件說明,p採購件/m自製件,製造天數,採購天數
PL00,PH36-4200-00-001,9MB32-0120,組,1,"三腳調整組   K系列36""",軸承(32024)日本NTN,P,0,10
PL00,PH36-4200-00-001,9MB32-0130,組,1,"三腳調整組   K系列36""",軸承(32026)日本NTN,P,0,10
PL00,PH36-4200-00-001,9MB60-0120,組,1,"三腳調整組   K系列36""",軸承,P,0,10
PL00,PH36-4200-00-001,9MN00-0120,組,1,"三腳調整組   K系列36""",螺帽,P,0,5
PL00,PH36-4200-00-001,9MW00-44X20X3,組,6,"三腳調整組   K系列36""",華司(X型龜蓋用),P,0,10
PL00,PH36-4200-00-001,9MW06-0120,組,1,"三腳調整組   K系列36""",太陽片,P,0,5
PL00,PH36-4200-00-001,9PI00-6X16,組,8,"三腳調整組   K系列36""",直鞘-6X16長鋼珠,P,0,33
PL00,PH36-4200-00-001,9SC01-M12X15-01,組,4,"三腳調整組   K系列36""",有頭螺絲 (頭須車修;吳正,P,0,33
PL00,PH36-4200-00-001,DC30-3315-00-001,組,4,"三腳調整組   K系列36""",內切固定塊,P,0,10
PL00,PH36-4200-00-001,DC34-4002-00-005,組,1,"三腳調整組   K系列36""",上傳動大齒輪-432T,M,5,0
PL00,DC34-4002-00-005,DC34-4002-0Z-004,只,1,上傳動大齒輪-432T,上傳動大齒輪-432T,M,3,0
PL00,DC34-4002-0Z-004,DC34-4002-0K-003,只,1,上傳動大齒輪-432T,上傳動大齒輪-432T,P,0,5
PL00,PH36-4200-00-001,DC34-4004-00-005,組,1,"三腳調整組   K系列36""",調整中仁,M,0,0
PL00,DC34-4004-00-005,DC34-4004-0Z-002,只,1,調整中仁,調整中仁-車件,M,5,0
PL00,DC34-4004-0Z-002,DC34-4004-0K-002,只,1,調整中仁-車件,調整中仁-鑄件,P,0,6
PL00,PH36-4200-00-001,DC34-4005-00-001,組,1,"三腳調整組   K系列36""",中心軸,P,0,5
PL00,PH36-4200-00-001,DC34-4007-00-006,組,1,"三腳調整組   K系列36""",三角調整盤,M,5,0
PL00,DC34-4007-00-006,DC34-4007-0Z-001,只,1,三角調整盤,三角調整盤,M,3,0
PL00,DC34-4007-0Z-001,JA34-4007-0K-001,只,1,三角調整盤,三角調整盤,P,0,5
PL00,PH36-4200-00-001,GD30-4028-00-001,組,2,"三腳調整組   K系列36""",調整固定塊,P,0,7
PL00,PH36-4200-00-001,JA30-4008,組,1,"三腳調整組   K系列36""",布目調整大齒輪,P,0,5
PL00,PH36-4200-00-001,JA30-4009-00-001,組,1,"三腳調整組   K系列36""",針距調整把手,P,0,5
PL00,PH36-4200-00-001,JA30-4022,組,1,"三腳調整組   K系列36""",壓板,P,0,10
PL00,PH36-4200-00-001,RG36-4006-00-001,組,2,"三腳調整組   K系列36""",針盤傳動盤-珠盤,M,10,0
PL00,RG36-4006-00-001,9MW00-13X6.5X2.5,只,16,針盤傳動盤-珠盤,針筒華司,P,0,5
PL00,RG36-4006-00-001,9SC01-M10X10,只,32,針盤傳動盤-珠盤,有頭螺絲    M10X10L,P,0,5
PL00,RG36-4006-00-001,9SC01-M6X45,只,16,針盤傳動盤-珠盤,有頭螺絲,P,0,5
PL00,RG36-4006-00-001,9SC02-M10X10-S,只,32,針盤傳動盤-珠盤,無頭螺絲(底部削平),P,0,5
PL00,RG36-4006-00-001,EF30-7627-00-001,只,16,針盤傳動盤-珠盤,針筒防油墊圈,P,0,7
PL00,RG36-4006-00-001,EF30-7627-00-002,只,32,針盤傳動盤-珠盤,上針筒防油墊圈,M,1,0
PL00,EF30-7627-00-002,9HO10-10-4,只,2,上針筒防油墊圈,O形環-P10線徑1.9mm,P,0,5
PL00,9S-DC00-C0003-8-W,9EB00-1268V,台,1,K底板剖布+8段喂紗,TR-1268VA,P,0,7
PL00,9S-DC00-C0003-8-W,9ED80-K2005-6/8,台,1,K底板剖布+8段喂紗,K-2005-6/8(8段喂紗),P,0,33
PL00,9S-DC00-C0003-8-W,9ED80-K2018-1,台,1,K底板剖布+8段喂紗,申州下接線排,P,0,5
PL00,9S-DC00-C0003-8-W,9EJ00-0080-60,台,1,K底板剖布+8段喂紗,TE用剎車電阻80W/60Ω,P,0,33
PL00,9S-DC00-C0003-8-W,9EK00-6AL-I,台,2,K底板剖布+8段喂紗,繼電器(火花消除器-8A),P,0,33
PL00,9S-DC00-C0003-8-W,9EL01-3P32A-LS,台,1,K底板剖布+8段喂紗,斷路器LS,P,0,5
PL00,9S-DC00-C0003-8-W,9EL10-AC1-25A,台,1,K底板剖布+8段喂紗,電磁接觸器AC1-25A,P,0,33
PL00,9S-DC00-C0003-8-W,9EL10-AC1-25B,台,1,K底板剖布+8段喂紗,電磁開關突波吸收器(雜訊),P,0,33
PL00,9S-DC00-C0003-8-W,9EP00-2026B,台,1,K底板剖布+8段喂紗,PL-2026B,M,7,0
PL00,9EP00-2026B,9EB00-1220-1,只,1,PL-2026B,1220-1 (2026用),P,0,14
PL00,9EP00-2026B,9EP00-2026B-01,只,1,PL-2026B,PL-2026B電子,P,0,33
PL00,9EP00-2026B,9EP00-2026B-02,只,1,PL-2026B,PL-2026B電料,P,0,33
PL00,9EP00-2026B,9EP02-2026B,只,1,PL-2026B,PL-2026B空板,P,0,5
PL00,9S-DC00-C0003-8-W,9EP00-MDR-40-24,台,1,K底板剖布+8段喂紗,電源供應器MDR-40-24,P,0,8
PL00,9S-DC00-C0003-8-W,EU30-7119-00-013,台,1,K底板剖布+8段喂紗,電氣箱底板(豪華型),P,0,14
